Tipologia_API;Zona;Data;Valore
sessionUploadTraffic;OWM Zona4;2022-05-06 00:00:00+02:00;381001886.0
sessionUploadTraffic;OWM Zona3;2022-05-06 00:00:00+02:00;531549379.0
sessionUploadTraffic;OWM Zona2;2022-05-06 00:00:00+02:00;117847900.0
sessionUploadTraffic;OWM Zona1;2022-05-06 00:00:00+02:00;429847372.0
sessionUploadTraffic;OWM Zona9;2022-05-05 00:00:00+02:00;834853369.0
sessionUploadTraffic;OWM Zona8;2022-05-05 00:00:00+02:00;416241947.0
sessionUploadTraffic;OWM Zona7;2022-05-05 00:00:00+02:00;308898253.0
sessionUploadTraffic;OWM Zona6;2022-05-05 00:00:00+02:00;2816609001.0
sessionUploadTraffic;OWM Zona5;2022-05-05 00:00:00+02:00;469233325.0
sessionUploadTraffic;OWM Zona4;2022-05-05 00:00:00+02:00;354370224.0
sessionUploadTraffic;OWM Zona3;2022-05-05 00:00:00+02:00;914455531.0
sessionUploadTraffic;OWM Zona2;2022-05-05 00:00:00+02:00;106616824.0
sessionUploadTraffic;OWM Zona1;2022-05-05 00:00:00+02:00;1058055188.0
sessionUploadTraffic;OWM Zona9;2022-05-04 00:00:00+02:00;419416563.0
sessionUploadTraffic;OWM Zona8;2022-05-04 00:00:00+02:00;423639203.0
sessionUploadTraffic;OWM Zona7;2022-05-04 00:00:00+02:00;395705660.0
sessionUploadTraffic;OWM Zona6;2022-05-04 00:00:00+02:00;2447886041.0
sessionUploadTraffic;OWM Zona5;2022-05-04 00:00:00+02:00;296467729.0
sessionUploadTraffic;OWM Zona4;2022-05-04 00:00:00+02:00;267061920.0
sessionUploadTraffic;OWM Zona3;2022-05-04 00:00:00+02:00;496016031.0
sessionUploadTraffic;OWM Zona2;2022-05-04 00:00:00+02:00;248764271.0
sessionUploadTraffic;OWM Zona1;2022-05-04 00:00:00+02:00;335314230.0
sessionUploadTraffic;OWM Zona9;2022-05-03 00:00:00+02:00;709510550.0
sessionUploadTraffic;OWM Zona8;2022-05-03 00:00:00+02:00;415046324.0
sessionUploadTraffic;OWM Zona7;2022-05-03 00:00:00+02:00;463584963.0
sessionUploadTraffic;OWM Zona6;2022-05-03 00:00:00+02:00;1374484359.0
sessionUploadTraffic;OWM Zona5;2022-05-03 00:00:00+02:00;412978088.0
sessionUploadTraffic;OWM Zona4;2022-05-03 00:00:00+02:00;843032530.0
sessionUploadTraffic;OWM Zona3;2022-05-03 00:00:00+02:00;613988870.0
sessionUploadTraffic;OWM Zona2;2022-05-03 00:00:00+02:00;157843188.0
sessionUploadTraffic;OWM Zona1;2022-05-03 00:00:00+02:00;630997541.0
sessionUploadTraffic;OWM Zona9;2022-05-02 00:00:00+02:00;1370211857.0
sessionUploadTraffic;OWM Zona8;2022-05-02 00:00:00+02:00;654732824.0
sessionUploadTraffic;OWM Zona7;2022-05-02 00:00:00+02:00;619929670.0
sessionUploadTraffic;OWM Zona6;2022-05-02 00:00:00+02:00;2007853399.0
sessionUploadTraffic;OWM Zona5;2022-05-02 00:00:00+02:00;293414351.0
sessionUploadTraffic;OWM Zona4;2022-05-02 00:00:00+02:00;656890115.0
