OBJECTID;Area;Funzionante;VIA___P_zza___Corso;Indirizzo;Civico;Città;CAP;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
329;Parco Martesana;SI;Parco;Martesana;;MILANO;20127;2;19;PADOVA - TURRO - CRESCENZAGO;9.231420000000071;45.50369000000006;(45.50369000000006, 9.231420000000071)
330;Parco Martesana;SI;Via;Rancati ;36;MILANO;20127;2;19;PADOVA - TURRO - CRESCENZAGO;9.229620000000068;45.50236000000007;(45.50236000000007, 9.229620000000068)
331;Parco Martesana;SI;Via;Zanardini;20;MILANO;20127;2;19;PADOVA - TURRO - CRESCENZAGO;9.235820000000047;45.50377000000003;(45.50377000000003, 9.235820000000047)
332;Parco Martesana;SI;Parco;Martesana;;MILANO;20127;2;19;PADOVA - TURRO - CRESCENZAGO;9.231870000000072;45.500680000000045;(45.500680000000045, 9.231870000000072)
333;Parco Martesana;SI;Via;Agordat;36;MILANO;20127;2;19;PADOVA - TURRO - CRESCENZAGO;9.23255000000006;45.50278000000003;(45.50278000000003, 9.23255000000006)
334;Parco Martesana;SI;Parco;Martesana;;MILANO;20127;2;19;PADOVA - TURRO - CRESCENZAGO;9.234340000000032;45.50359000000003;(45.50359000000003, 9.234340000000032)
337;Via Rizzoli MM Crescenzago;SI;Via;Francesco Rubino;;MILANO;20132;3;18;CIMIANO - ROTTOLE - Q.RE FELTRE;9.248330000000067;45.50463000000008;(45.50463000000008, 9.248330000000067)
338;Largo TelAviv;SI;Largo;Tel Aviv;10;MILANO;20132;2;19;PADOVA - TURRO - CRESCENZAGO;9.23482000000007;45.49790000000007;(45.49790000000007, 9.23482000000007)
339;Palmanova/Boves;SI;Via;Boves;1;MILANO;20132;3;18;CIMIANO - ROTTOLE - Q.RE FELTRE;9.236800000000073;45.49563000000006;(45.49563000000006, 9.236800000000073)
340;Palmanova/Boves;SI;Via;Palmanova;60;MILANO;20132;3;18;CIMIANO - ROTTOLE - Q.RE FELTRE;9.237500000000068;45.49670000000003;(45.49670000000003, 9.237500000000068)
342;Giardini Bellisario Marisa;SI;Via;Maniago;34;MILANO;20132;3;18;CIMIANO - ROTTOLE - Q.RE FELTRE;9.238000000000056;45.491040000000055;(45.491040000000055, 9.238000000000056)
343;Giardini Bellisario Marisa;SI;Via;Maniago;25;MILANO;20132;3;18;CIMIANO - ROTTOLE - Q.RE FELTRE;9.23825000000005;45.49102000000005;(45.49102000000005, 9.23825000000005)
344;Gobba;SI;Cascina;Gobba;;MILANO;20132;3;18;CIMIANO - ROTTOLE - Q.RE FELTRE;9.260650000000055;45.51095000000004;(45.51095000000004, 9.260650000000055)
345;Gobba;SI;Cascina;Gobba;;MILANO;20132;3;18;CIMIANO - ROTTOLE - Q.RE FELTRE;9.260890000000074;45.51121000000006;(45.51121000000006, 9.260890000000074)
346;Borgo Chiaravalle;SI;Via;Sant'Arialdo;115;MILANO;20139;5;34;CHIARAVALLE;9.235450000000071;45.416390000000035;(45.416390000000035, 9.235450000000071)
347;Piazzale De Agostini;SI;Piazzale;de Agostini;;MILANO;20146;7;51;PORTA MAGENTA;9.156270000000063;45.458210000000065;(45.458210000000065, 9.156270000000063)
348;Piazzale De Agostini;SI;Piazzale;de Agostini;;MILANO;20144;6;51;PORTA MAGENTA;9.15620000000007;45.45765000000006;(45.45765000000006, 9.15620000000007)
349;Viale Berengario;SI;Piazza;Amendola;;MILANO;20149;8;59;TRE TORRI;9.151460000000043;45.47410000000008;(45.47410000000008, 9.151460000000043)
350;Piazzale Carlo Magno;SI;Piazzale;Carlo Magno;;MILANO;20149;8;67;PORTELLO;9.155860000000075;45.48096000000004;(45.48096000000004, 9.155860000000075)
353;Piazza Cadorna;SI;Piazzale;Cadorna;7;MILANO;20123;1;7;MAGENTA - S. VITTORE;9.177130000000034;45.46774000000005;(45.46774000000005, 9.177130000000034)
354;Piazza Pagano;SI;Piazza;Pagano;;MILANO;20145;8;68;PAGANO;9.16050000000007;45.468530000000044;(45.468530000000044, 9.16050000000007)
355;Burchiello/Pagano;SI;Via;del Burchiello;;MILANO;20145;8;68;PAGANO;9.160040000000038;45.468560000000025;(45.468560000000025, 9.160040000000038)
356;Burchiello/Pagano;SI;Via;Giorgio Pallavicino;35;MILANO;20145;8;68;PAGANO;9.160120000000063;45.469070000000045;(45.469070000000045, 9.160120000000063)
357;Burchiello/Pagano;SI;Via;Alfredo Panzini;;MILANO;20145;8;68;PAGANO;9.160640000000058;45.47005000000007;(45.47005000000007, 9.160640000000058)
358;Burchiello/Pagano;SI;Via;Piero Capponi;22;MILANO;20145;8;68;PAGANO;9.159320000000037;45.470390000000066;(45.470390000000066, 9.159320000000037)
359;Burchiello/Pagano;SI;Via;Grancini;8;MILANO;20145;8;68;PAGANO;9.16115000000002;45.471430000000055;(45.471430000000055, 9.16115000000002)
360;Burchiello/Pagano;SI;Via;Rossetti;30;MILANO;20145;8;68;PAGANO;9.163110000000074;45.471970000000056;(45.471970000000056, 9.163110000000074)
363;P.ta Romana - C.so Lodi;SI;Corso;Lodi;1;MILANO;20135;5;27;PTA ROMANA;9.202980000000025;45.45139000000006;(45.45139000000006, 9.202980000000025)
365;Giardini Bazlen;SI;Corso;Porta Romana;116;MILANO;20122;1;5;PORTA VIGENTINA - PORTA LODOVICA;9.198530000000062;45.45432000000005;(45.45432000000005, 9.198530000000062)
366;Giardini Bazlen;SI;Corso;Porta Romana;116;MILANO;20122;1;5;PORTA VIGENTINA - PORTA LODOVICA;9.19852000000003;45.45431000000008;(45.45431000000008, 9.19852000000003)
368;Piazza 5 Giornate;SI;Piazza;Cinque Giornate;3;MILANO;20129;1;4;GUASTALLA;9.207100000000025;45.46262000000007;(45.46262000000007, 9.207100000000025)
369;Parco Morosini;SI;Via;Emilio Morosini;7;MILANO;20135;4;26;XXII MARZO;9.211200000000076;45.46089000000006;(45.46089000000006, 9.211200000000076)
373;(XXII Marzo/Emilia);SI;Corso;XXII MARZO;37;MILANO;20135;4;26;XXII MARZO;9.21795000000003;45.46211000000005;(45.46211000000005, 9.21795000000003)
380;Via Cadore/Anfossi;SI;Via;Anfossi;32;MILANO;20135;4;26;XXII MARZO;9.214300000000037;45.459100000000035;(45.459100000000035, 9.214300000000037)
382;Via Comelico/Friuli;SI;Via;Comelico;19;MILANO;20135;4;26;XXII MARZO;9.213400000000036;45.454810000000066;(45.454810000000066, 9.213400000000036)
